phrase_id,idiom_id,model,result
33,8,argos-translate,1
94,9,argos-translate,1
95,9,argos-translate,1
96,9,argos-translate,1
28,1,deepseek-chat,1
29,1,deepseek-chat,1
30,1,deepseek-chat,1
64,10,deepseek-chat,1
65,10,deepseek-chat,1
66,10,deepseek-chat,0
73,11,deepseek-chat,1
74,11,deepseek-chat,1
75,11,deepseek-chat,1
55,12,deepseek-chat,1
56,12,deepseek-chat,1
57,12,deepseek-chat,1
43,13,deepseek-chat,1
44,13,deepseek-chat,1
45,13,deepseek-chat,1
67,14,deepseek-chat,1
68,14,deepseek-chat,1
69,14,deepseek-chat,1
109,15,deepseek-chat,1
110,15,deepseek-chat,1
111,15,deepseek-chat,1
97,16,deepseek-chat,1
98,16,deepseek-chat,1
99,16,deepseek-chat,1
25,17,deepseek-chat,1
26,17,deepseek-chat,1
27,17,deepseek-chat,1
22,18,deepseek-chat,0
23,18,deepseek-chat,1
24,18,deepseek-chat,1
37,19,deepseek-chat,1
38,19,deepseek-chat,1
39,19,deepseek-chat,1
76,2,deepseek-chat,1
77,2,deepseek-chat,1
78,2,deepseek-chat,1
100,20,deepseek-chat,1
101,20,deepseek-chat,1
102,20,deepseek-chat,1
34,21,deepseek-chat,0
35,21,deepseek-chat,1
36,21,deepseek-chat,1
40,22,deepseek-chat,1
41,22,deepseek-chat,1
42,22,deepseek-chat,1
10,23,deepseek-chat,0
11,23,deepseek-chat,1
12,23,deepseek-chat,1
4,24,deepseek-chat,1
5,24,deepseek-chat,1
6,24,deepseek-chat,1
16,25,deepseek-chat,1
17,25,deepseek-chat,1
18,25,deepseek-chat,1
58,26,deepseek-chat,1
59,26,deepseek-chat,1
60,26,deepseek-chat,1
88,27,deepseek-chat,0
89,27,deepseek-chat,1
90,27,deepseek-chat,1
82,28,deepseek-chat,1
83,28,deepseek-chat,1
84,28,deepseek-chat,1
52,29,deepseek-chat,1
53,29,deepseek-chat,1
54,29,deepseek-chat,1
79,3,deepseek-chat,1
80,3,deepseek-chat,1
81,3,deepseek-chat,1
103,30,deepseek-chat,0
104,30,deepseek-chat,1
105,30,deepseek-chat,1
85,31,deepseek-chat,1
86,31,deepseek-chat,1
87,31,deepseek-chat,1
106,32,deepseek-chat,1
107,32,deepseek-chat,1
108,32,deepseek-chat,1
19,33,deepseek-chat,1
20,33,deepseek-chat,0
21,33,deepseek-chat,1
7,34,deepseek-chat,1
8,34,deepseek-chat,1
9,34,deepseek-chat,1
49,35,deepseek-chat,1
50,35,deepseek-chat,1
51,35,deepseek-chat,1
70,36,deepseek-chat,0
71,36,deepseek-chat,0
72,36,deepseek-chat,0
61,37,deepseek-chat,0
62,37,deepseek-chat,1
63,37,deepseek-chat,1
1,4,deepseek-chat,1
2,4,deepseek-chat,1
3,4,deepseek-chat,1
46,5,deepseek-chat,1
47,5,deepseek-chat,1
48,5,deepseek-chat,0
13,6,deepseek-chat,0
14,6,deepseek-chat,0
15,6,deepseek-chat,0
91,7,deepseek-chat,1
92,7,deepseek-chat,1
93,7,deepseek-chat,1
31,8,deepseek-chat,1
32,8,deepseek-chat,1
33,8,deepseek-chat,1
94,9,deepseek-chat,1
95,9,deepseek-chat,1
96,9,deepseek-chat,1
28,1,google-translate-api,1
29,1,google-translate-api,1
30,1,google-translate-api,1
64,10,google-translate-api,1
65,10,google-translate-api,0
66,10,google-translate-api,0
73,11,google-translate-api,1
74,11,google-translate-api,1
75,11,google-translate-api,1
55,12,google-translate-api,0
56,12,google-translate-api,1
57,12,google-translate-api,1
43,13,google-translate-api,1
44,13,google-translate-api,1
45,13,google-translate-api,1
67,14,google-translate-api,0
68,14,google-translate-api,0
69,14,google-translate-api,1
109,15,google-translate-api,1
110,15,google-translate-api,1
111,15,google-translate-api,1
97,16,google-translate-api,1
98,16,google-translate-api,1
99,16,google-translate-api,1
25,17,google-translate-api,1
26,17,google-translate-api,1
27,17,google-translate-api,1
22,18,google-translate-api,1
23,18,google-translate-api,1
24,18,google-translate-api,1
37,19,google-translate-api,1
38,19,google-translate-api,1
39,19,google-translate-api,1
76,2,google-translate-api,1
77,2,google-translate-api,1
78,2,google-translate-api,0
100,20,google-translate-api,1
101,20,google-translate-api,1
102,20,google-translate-api,1
34,21,google-translate-api,1
35,21,google-translate-api,1
36,21,google-translate-api,1
40,22,google-translate-api,1
41,22,google-translate-api,0
42,22,google-translate-api,1
10,23,google-translate-api,0
11,23,google-translate-api,1
12,23,google-translate-api,1
4,24,google-translate-api,1
5,24,google-translate-api,1
6,24,google-translate-api,1
16,25,google-translate-api,1
17,25,google-translate-api,1
18,25,google-translate-api,1
58,26,google-translate-api,1
59,26,google-translate-api,1
60,26,google-translate-api,1
88,27,google-translate-api,1
89,27,google-translate-api,1
90,27,google-translate-api,0
82,28,google-translate-api,1
83,28,google-translate-api,1
84,28,google-translate-api,1
52,29,google-translate-api,1
53,29,google-translate-api,1
54,29,google-translate-api,1
79,3,google-translate-api,1
80,3,google-translate-api,1
81,3,google-translate-api,1
103,30,google-translate-api,0
104,30,google-translate-api,0
105,30,google-translate-api,1
85,31,google-translate-api,1
86,31,google-translate-api,1
87,31,google-translate-api,1
106,32,google-translate-api,1
107,32,google-translate-api,1
108,32,google-translate-api,1
19,33,google-translate-api,1
20,33,google-translate-api,1
21,33,google-translate-api,0
7,34,google-translate-api,0
8,34,google-translate-api,0
9,34,google-translate-api,0
49,35,google-translate-api,1
50,35,google-translate-api,1
51,35,google-translate-api,1
70,36,google-translate-api,0
71,36,google-translate-api,0
72,36,google-translate-api,0
61,37,google-translate-api,0
62,37,google-translate-api,1
63,37,google-translate-api,0
1,4,google-translate-api,1
2,4,google-translate-api,1
3,4,google-translate-api,1
46,5,google-translate-api,1
47,5,google-translate-api,1
48,5,google-translate-api,1
13,6,google-translate-api,0
14,6,google-translate-api,0
15,6,google-translate-api,0
91,7,google-translate-api,1
92,7,google-translate-api,1
93,7,google-translate-api,1
31,8,google-translate-api,1
32,8,google-translate-api,1
33,8,google-translate-api,1
94,9,google-translate-api,1
95,9,google-translate-api,0
96,9,google-translate-api,0
28,1,gpt-3.5-turbo,1
29,1,gpt-3.5-turbo,1
30,1,gpt-3.5-turbo,1
64,10,gpt-3.5-turbo,1
65,10,gpt-3.5-turbo,1
66,10,gpt-3.5-turbo,1
73,11,gpt-3.5-turbo,1
74,11,gpt-3.5-turbo,1
75,11,gpt-3.5-turbo,1
55,12,gpt-3.5-turbo,1
56,12,gpt-3.5-turbo,1
57,12,gpt-3.5-turbo,0
43,13,gpt-3.5-turbo,1
44,13,gpt-3.5-turbo,1
45,13,gpt-3.5-turbo,0
67,14,gpt-3.5-turbo,1
68,14,gpt-3.5-turbo,0
69,14,gpt-3.5-turbo,0
109,15,gpt-3.5-turbo,1
110,15,gpt-3.5-turbo,1
111,15,gpt-3.5-turbo,1
97,16,gpt-3.5-turbo,1
98,16,gpt-3.5-turbo,1
99,16,gpt-3.5-turbo,1
25,17,gpt-3.5-turbo,1
26,17,gpt-3.5-turbo,1
27,17,gpt-3.5-turbo,1
22,18,gpt-3.5-turbo,1
23,18,gpt-3.5-turbo,1
24,18,gpt-3.5-turbo,1
37,19,gpt-3.5-turbo,1
38,19,gpt-3.5-turbo,1
39,19,gpt-3.5-turbo,1
76,2,gpt-3.5-turbo,0
77,2,gpt-3.5-turbo,1
78,2,gpt-3.5-turbo,0
100,20,gpt-3.5-turbo,1
101,20,gpt-3.5-turbo,1
102,20,gpt-3.5-turbo,1
34,21,gpt-3.5-turbo,1
35,21,gpt-3.5-turbo,1
36,21,gpt-3.5-turbo,1
40,22,gpt-3.5-turbo,1
41,22,gpt-3.5-turbo,1
42,22,gpt-3.5-turbo,1
10,23,gpt-3.5-turbo,0
11,23,gpt-3.5-turbo,1
12,23,gpt-3.5-turbo,1
4,24,gpt-3.5-turbo,1
5,24,gpt-3.5-turbo,1
6,24,gpt-3.5-turbo,1
16,25,gpt-3.5-turbo,1
17,25,gpt-3.5-turbo,1
18,25,gpt-3.5-turbo,1
58,26,gpt-3.5-turbo,1
59,26,gpt-3.5-turbo,1
60,26,gpt-3.5-turbo,1
88,27,gpt-3.5-turbo,1
89,27,gpt-3.5-turbo,1
90,27,gpt-3.5-turbo,0
82,28,gpt-3.5-turbo,1
83,28,gpt-3.5-turbo,1
84,28,gpt-3.5-turbo,1
52,29,gpt-3.5-turbo,1
53,29,gpt-3.5-turbo,1
54,29,gpt-3.5-turbo,1
79,3,gpt-3.5-turbo,1
80,3,gpt-3.5-turbo,1
81,3,gpt-3.5-turbo,1
103,30,gpt-3.5-turbo,0
104,30,gpt-3.5-turbo,0
105,30,gpt-3.5-turbo,1
85,31,gpt-3.5-turbo,1
86,31,gpt-3.5-turbo,1
87,31,gpt-3.5-turbo,1
106,32,gpt-3.5-turbo,1
107,32,gpt-3.5-turbo,1
108,32,gpt-3.5-turbo,1
19,33,gpt-3.5-turbo,1
20,33,gpt-3.5-turbo,1
21,33,gpt-3.5-turbo,0
7,34,gpt-3.5-turbo,1
8,34,gpt-3.5-turbo,1
9,34,gpt-3.5-turbo,1
49,35,gpt-3.5-turbo,1
50,35,gpt-3.5-turbo,1
51,35,gpt-3.5-turbo,1
70,36,gpt-3.5-turbo,0
71,36,gpt-3.5-turbo,0
72,36,gpt-3.5-turbo,0
61,37,gpt-3.5-turbo,0
62,37,gpt-3.5-turbo,0
63,37,gpt-3.5-turbo,0
1,4,gpt-3.5-turbo,1
2,4,gpt-3.5-turbo,1
3,4,gpt-3.5-turbo,1
46,5,gpt-3.5-turbo,1
47,5,gpt-3.5-turbo,0
48,5,gpt-3.5-turbo,1
13,6,gpt-3.5-turbo,1
14,6,gpt-3.5-turbo,1
15,6,gpt-3.5-turbo,1
91,7,gpt-3.5-turbo,1
92,7,gpt-3.5-turbo,1
93,7,gpt-3.5-turbo,1
31,8,gpt-3.5-turbo,1
32,8,gpt-3.5-turbo,1
33,8,gpt-3.5-turbo,1
94,9,gpt-3.5-turbo,0
95,9,gpt-3.5-turbo,0
96,9,gpt-3.5-turbo,0
28,1,madlad400-3b-mt,1
29,1,madlad400-3b-mt,1
30,1,madlad400-3b-mt,1
64,10,madlad400-3b-mt,0
65,10,madlad400-3b-mt,0
66,10,madlad400-3b-mt,0
73,11,madlad400-3b-mt,0
74,11,madlad400-3b-mt,1
75,11,madlad400-3b-mt,1
55,12,madlad400-3b-mt,0
56,12,madlad400-3b-mt,0
57,12,madlad400-3b-mt,0
43,13,madlad400-3b-mt,0
44,13,madlad400-3b-mt,1
45,13,madlad400-3b-mt,0
67,14,madlad400-3b-mt,1
68,14,madlad400-3b-mt,1
69,14,madlad400-3b-mt,1
109,15,madlad400-3b-mt,1
110,15,madlad400-3b-mt,0
111,15,madlad400-3b-mt,0
97,16,madlad400-3b-mt,0
98,16,madlad400-3b-mt,0
99,16,madlad400-3b-mt,0
25,17,madlad400-3b-mt,0
26,17,madlad400-3b-mt,1
27,17,madlad400-3b-mt,0
22,18,madlad400-3b-mt,0
23,18,madlad400-3b-mt,1
24,18,madlad400-3b-mt,0
37,19,madlad400-3b-mt,0
38,19,madlad400-3b-mt,1
39,19,madlad400-3b-mt,0
76,2,madlad400-3b-mt,0
77,2,madlad400-3b-mt,0
78,2,madlad400-3b-mt,0
100,20,madlad400-3b-mt,0
101,20,madlad400-3b-mt,1
102,20,madlad400-3b-mt,1
34,21,madlad400-3b-mt,1
35,21,madlad400-3b-mt,0
36,21,madlad400-3b-mt,1
40,22,madlad400-3b-mt,0
41,22,madlad400-3b-mt,0
42,22,madlad400-3b-mt,1
10,23,madlad400-3b-mt,0
11,23,madlad400-3b-mt,1
12,23,madlad400-3b-mt,0
4,24,madlad400-3b-mt,0
5,24,madlad400-3b-mt,0
6,24,madlad400-3b-mt,1
16,25,madlad400-3b-mt,1
17,25,madlad400-3b-mt,1
18,25,madlad400-3b-mt,1
58,26,madlad400-3b-mt,1
59,26,madlad400-3b-mt,1
60,26,madlad400-3b-mt,1
88,27,madlad400-3b-mt,0
89,27,madlad400-3b-mt,1
90,27,madlad400-3b-mt,0
82,28,madlad400-3b-mt,0
83,28,madlad400-3b-mt,1
84,28,madlad400-3b-mt,1
52,29,madlad400-3b-mt,1
53,29,madlad400-3b-mt,1
54,29,madlad400-3b-mt,1
79,3,madlad400-3b-mt,1
80,3,madlad400-3b-mt,1
81,3,madlad400-3b-mt,1
103,30,madlad400-3b-mt,0
104,30,madlad400-3b-mt,1
105,30,madlad400-3b-mt,1
85,31,madlad400-3b-mt,0
86,31,madlad400-3b-mt,0
87,31,madlad400-3b-mt,0
106,32,madlad400-3b-mt,1
107,32,madlad400-3b-mt,1
108,32,madlad400-3b-mt,0
19,33,madlad400-3b-mt,0
20,33,madlad400-3b-mt,0
21,33,madlad400-3b-mt,0
7,34,madlad400-3b-mt,1
8,34,madlad400-3b-mt,0
9,34,madlad400-3b-mt,0
49,35,madlad400-3b-mt,0
50,35,madlad400-3b-mt,0
51,35,madlad400-3b-mt,1
70,36,madlad400-3b-mt,0
71,36,madlad400-3b-mt,0
72,36,madlad400-3b-mt,0
61,37,madlad400-3b-mt,0
62,37,madlad400-3b-mt,1
63,37,madlad400-3b-mt,1
1,4,madlad400-3b-mt,1
2,4,madlad400-3b-mt,1
3,4,madlad400-3b-mt,1
46,5,madlad400-3b-mt,1
47,5,madlad400-3b-mt,1
48,5,madlad400-3b-mt,0
13,6,madlad400-3b-mt,0
14,6,madlad400-3b-mt,0
15,6,madlad400-3b-mt,0
91,7,madlad400-3b-mt,0
92,7,madlad400-3b-mt,1
93,7,madlad400-3b-mt,0
31,8,madlad400-3b-mt,0
32,8,madlad400-3b-mt,0
33,8,madlad400-3b-mt,0
94,9,madlad400-3b-mt,0
95,9,madlad400-3b-mt,1
96,9,madlad400-3b-mt,1
28,1,mbart50,0
29,1,mbart50,0
30,1,mbart50,0
64,10,mbart50,0
65,10,mbart50,0
66,10,mbart50,0
73,11,mbart50,0
74,11,mbart50,0
75,11,mbart50,0
55,12,mbart50,0
56,12,mbart50,0
57,12,mbart50,0
43,13,mbart50,0
44,13,mbart50,0
45,13,mbart50,0
67,14,mbart50,0
68,14,mbart50,0
69,14,mbart50,0
109,15,mbart50,1
110,15,mbart50,0
111,15,mbart50,1
97,16,mbart50,0
98,16,mbart50,0
99,16,mbart50,0
25,17,mbart50,0
26,17,mbart50,0
27,17,mbart50,0
22,18,mbart50,0
23,18,mbart50,0
24,18,mbart50,0
37,19,mbart50,0
38,19,mbart50,0
39,19,mbart50,0
76,2,mbart50,0
77,2,mbart50,0
78,2,mbart50,0
100,20,mbart50,0
101,20,mbart50,1
102,20,mbart50,0
34,21,mbart50,0
35,21,mbart50,0
36,21,mbart50,0
40,22,mbart50,0
41,22,mbart50,0
42,22,mbart50,0
10,23,mbart50,0
11,23,mbart50,0
12,23,mbart50,0
4,24,mbart50,0
5,24,mbart50,0
6,24,mbart50,0
16,25,mbart50,0
17,25,mbart50,0
18,25,mbart50,0
58,26,mbart50,1
59,26,mbart50,0
60,26,mbart50,0
88,27,mbart50,0
89,27,mbart50,0
90,27,mbart50,0
82,28,mbart50,0
83,28,mbart50,0
84,28,mbart50,0
52,29,mbart50,1
53,29,mbart50,1
54,29,mbart50,0
79,3,mbart50,0
80,3,mbart50,0
81,3,mbart50,0
103,30,mbart50,0
104,30,mbart50,0
105,30,mbart50,1
85,31,mbart50,0
86,31,mbart50,0
87,31,mbart50,0
106,32,mbart50,0
107,32,mbart50,0
108,32,mbart50,0
19,33,mbart50,0
20,33,mbart50,0
21,33,mbart50,0
7,34,mbart50,1
8,34,mbart50,0
9,34,mbart50,0
49,35,mbart50,0
50,35,mbart50,0
51,35,mbart50,0
70,36,mbart50,0
71,36,mbart50,0
72,36,mbart50,0
61,37,mbart50,0
62,37,mbart50,0
63,37,mbart50,0
1,4,mbart50,1
2,4,mbart50,1
3,4,mbart50,1
46,5,mbart50,0
47,5,mbart50,0
48,5,mbart50,0
13,6,mbart50,0
14,6,mbart50,0
15,6,mbart50,0
91,7,mbart50,0
92,7,mbart50,0
93,7,mbart50,0
31,8,mbart50,0
32,8,mbart50,0
33,8,mbart50,0
94,9,mbart50,0
95,9,mbart50,0
96,9,mbart50,0
28,1,nllb-600M,1
29,1,nllb-600M,0
30,1,nllb-600M,1
64,10,nllb-600M,0
65,10,nllb-600M,0
66,10,nllb-600M,0
73,11,nllb-600M,0
74,11,nllb-600M,1
75,11,nllb-600M,0
55,12,nllb-600M,0
56,12,nllb-600M,0
57,12,nllb-600M,0
43,13,nllb-600M,0
44,13,nllb-600M,0
45,13,nllb-600M,0
67,14,nllb-600M,1
68,14,nllb-600M,1
69,14,nllb-600M,1
109,15,nllb-600M,0
110,15,nllb-600M,0
111,15,nllb-600M,0
97,16,nllb-600M,1
98,16,nllb-600M,1
99,16,nllb-600M,0
25,17,nllb-600M,0
26,17,nllb-600M,0
27,17,nllb-600M,0
22,18,nllb-600M,0
23,18,nllb-600M,0
24,18,nllb-600M,0
37,19,nllb-600M,0
38,19,nllb-600M,0
39,19,nllb-600M,0
76,2,nllb-600M,0
77,2,nllb-600M,0
78,2,nllb-600M,0
100,20,nllb-600M,0
101,20,nllb-600M,1
102,20,nllb-600M,1
34,21,nllb-600M,0
35,21,nllb-600M,0
36,21,nllb-600M,0
40,22,nllb-600M,1
41,22,nllb-600M,0
42,22,nllb-600M,1
10,23,nllb-600M,0
11,23,nllb-600M,0
12,23,nllb-600M,0
4,24,nllb-600M,0
5,24,nllb-600M,0
6,24,nllb-600M,0
16,25,nllb-600M,0
17,25,nllb-600M,0
18,25,nllb-600M,0
58,26,nllb-600M,0
59,26,nllb-600M,1
60,26,nllb-600M,1
88,27,nllb-600M,1
89,27,nllb-600M,1
90,27,nllb-600M,0
82,28,nllb-600M,1
83,28,nllb-600M,0
84,28,nllb-600M,1
52,29,nllb-600M,1
53,29,nllb-600M,1
54,29,nllb-600M,1
79,3,nllb-600M,0
80,3,nllb-600M,0
81,3,nllb-600M,0
103,30,nllb-600M,0
104,30,nllb-600M,0
105,30,nllb-600M,0
85,31,nllb-600M,0
86,31,nllb-600M,0
87,31,nllb-600M,0
106,32,nllb-600M,1
107,32,nllb-600M,1
108,32,nllb-600M,0
19,33,nllb-600M,0
20,33,nllb-600M,0
21,33,nllb-600M,0
7,34,nllb-600M,0
8,34,nllb-600M,0
9,34,nllb-600M,0
49,35,nllb-600M,0
50,35,nllb-600M,0
51,35,nllb-600M,1
70,36,nllb-600M,0
71,36,nllb-600M,0
72,36,nllb-600M,0
61,37,nllb-600M,0
62,37,nllb-600M,0
63,37,nllb-600M,0
1,4,nllb-600M,1
2,4,nllb-600M,0
3,4,nllb-600M,1
46,5,nllb-600M,1
47,5,nllb-600M,0
48,5,nllb-600M,1
13,6,nllb-600M,0
14,6,nllb-600M,0
15,6,nllb-600M,0
91,7,nllb-600M,0
92,7,nllb-600M,1
93,7,nllb-600M,0
31,8,nllb-600M,0
32,8,nllb-600M,0
33,8,nllb-600M,0
94,9,nllb-600M,1
95,9,nllb-600M,0
96,9,nllb-600M,1
